,relax_refresh,cool_impress,light_interest,mystery_elegant,classic_creative,sexy_chic,klasiko_malikhain,fun_boring,M_F,pretty_adorable,beauty_cute,child_profe,calm_live,masikip_maayos,simple_luxury,crowded_neat,plain_sopshiticated,comfort_style,oldf_future,gorgeous_charm,masaya_nakakabagot,birthdate,college,gender,highschool1,highschool2,device,hobbies,primaryshop,shopnumber,shophours,shopitems,products,price,designorfunctionality,homepage,header_color,header_font_color,header_font_weight,header_letter_spacing,top_bottom_padding,left_right_padding,text_align,text_size,top_bottom_margin,left_right_margin,border_radius,button_bg_color,button_font_color,font_serif,font_sans_serif
0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,0,1,0,0,0,0,0,1,1,1,0,1,1,0,#2196F3,#79FF48,700,1,8,8,0,0,16,24,0,#E91E63,#FFF59D,2,1
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,0,1,0,0,0,0,0,1,1,1,0,1,1,0,#2196F3,#79FF48,700,0,24,24,0,1,24,8,0,#FFEB3B,#0D47A1,1,0
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,0,1,0,0,0,0,0,1,1,1,0,1,1,0,#0D47A1,#79FF48,700,0,16,0,0,0,24,24,25,#2196F3,#FFF59D,1,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,0,1,0,0,0,0,0,1,1,1,0,1,1,0,#880E4F,#FFEB3B,500,0,8,0,1,0,24,16,0,#3E2723,#F48FB1,0,2
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,0,1,0,0,0,0,0,1,1,1,0,1,1,0,#90CAF9,#3E2723,500,1,24,12,0,0,8,12,25,#FFF59D,#0D47A1,0,0
5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,0,1,0,0,0,0,0,1,1,1,0,1,1,0,#1B5E20,#F57F17,500,0,0,0,1,1,8,24,25,#FFF59D,#1B5E20,0,2
6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,0,1,0,0,0,0,0,1,1,1,0,1,1,0,#2196F3,#FFF59D,700,1,8,12,0,0,16,24,0,#90CAF9,#3E2723,1,1
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,0,1,0,0,0,0,0,1,1,1,0,1,1,0,#A5D6A7,#880E4F,500,0,0,24,0,1,8,24,0,#EF9A9A,#880E4F,1,1
8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,0,1,0,0,0,0,0,1,1,1,0,1,1,0,#0D47A1,#90CAF9,500,1,16,0,1,2,24,16,0,#2196F3,#FFEB3B,0,0
9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,20,0,1,0,0,0,0,0,1,1,1,0,1,1,0,#880E4F,#FFEB3B,700,0,16,0,1,0,16,24,0,#FFF59D,#1B5E20,1,0
